rider_name,rider_url,Omloop Nieuwsblad,Kuurne-Brussel-Kuurne,Samyn Classic,Strade Bianche,Nokere Koerse,Bredene Koksijde Classic,Milaan-Sanremo,Ronde van Brugge,E3 Saxo Classic,In Flanders Fields,Dwars door Vlaanderen,Ronde van Vlaanderen,Scheldeprijs,Parijs-Roubaix,Ronde van Limburg,Brabantse Pijl,Amstel Gold Race,Waalse Pijl,Luik-Bastenaken-Luik,races_count
BOARDMAN Samuel,rider/samuel-boardman,,X,X,,X,X,,,,,,,,,,,,,,4/19
BOICHIS Adrien,rider/adrien-boichis,,,,X,,,,,,,,,,,,,,,,1/19
BOIVIN Guillaume,rider/guillaume-boivin,X,X,,,,,,,X,X,X,X,,,,,,,,6/19
BOL Cees,rider/cees-bol,X,X,,,,,,,X,X,X,X,,,,,,,,6/19
BOLLE Bert,rider/bert-bolle,,,X,,,X,,,,,,,,,,,,,,2/19
BONNET Thomas,rider/thomas-bonnet,X,,,,,,,,X,X,,X,,,,,,,,4/19
BORGO Alessandro,rider/alessandro-borgo,,X,X,,X,,X,,,X,X,,,,,,,,,6/19
BOUGLAS Georgios,rider/georgios-bouglas,X,X,,,,,,,,,,,,,,,,,,2/19
BOULAHOITE Rayan,rider/rayan-boulahoite,,X,X,,,X,,,X,,X,,,,,,,,,5/19
BOUMA Jelle,rider/jelle-bouma,,,X,,,,,,,,,,,,,,,,,1/19
BOUQUET Axel,rider/axel-bouquet,,,X,,,,,,,,,,,,,,,,,1/19
BOUWMAN Koen,rider/koen-bouwman,,,,,,,,,,,,,,,,,,,X,1/19
BOWER Lewis,rider/lewis-bower,,,,,X,X,,,,,,,,,,,,,,2/19
BRAET Vito,rider/vito-braet,X,X,X,,,X,,,X,,X,X,,,,,,,,7/19
BRAND Sam,rider/sam-brand,,,,,,,X,,,,,,,,,,,,,1/19
BRAZ AFONSO Clément,rider/clement-braz-afonso,,,,X,,,X,,,,,,,,,,,,,2/19
BRENNAN Matthew,rider/matthew-brennan,X,X,,,,,,,,X,X,X,,X,,,,,,6/19
BRINKMAN Joost,rider/joost-brinkman,,,,,,X,,,,,,,,,,,,,,1/19
BRONSWIJK Mike,rider/mike-bronswijk,,,X,,,,,,,,,,,,,,,,,1/19
BRUNEL Alexys,rider/alexys-brunel,X,X,,,X,,,,X,X,X,X,,,,,,,,7/19
BRUTTOMESSO Alberto,rider/alberto-bruttomesso,,,X,,X,,,,,,,,,,,,,,,2/19
BUDZIŃSKI Marcin,rider/marcin-budzinski,,,,X,,,,,,,,,,,,,,,,1/19
BURNETT Josh,rider/josh-burnett,X,X,,,,,,,,,,X,,,,,,,,3/19
BUSATTO Francesco,rider/francesco-busatto,,,,X,,,,,,,,,,,,,X,X,X,4/19
BUTTIGIEG Aidan,rider/aidan-buttigieg,,,,X,,,,,,,,,,,,,,,,1/19
BYSTRØM Sven Erik,rider/sven-erik-bystrom,X,,,,,,,,X,X,,X,,,,,,,,4/19
BÉNÉTEAU Lucas,rider/lucas-beneteau,,,X,,,,,,,,,,,,,,,,,1/19
BÉVORT Carl-Frederik,rider/carl-frederik-bevort,X,X,,,X,X,,,,,,,,,,,,,,4/19
BÖGLI Noah,rider/noah-bogli,,,X,,,,,,,,,,,,,,,,,1/19
CAMPENAERTS Victor,rider/victor-campenaerts,,,,,,,X,,,,,,,,,,,,,1/19
CAMPRUBÍ Marcel,rider/marcel-camprubi,,,,,,,X,,,,,,,,,,,,,1/19
CANAL Carlos,rider/carlos-canal,X,X,,,,,,,X,X,X,X,,,,,,,,6/19
CAPIOT Amaury,rider/amaury-capiot,X,X,,,X,,,X,X,X,X,X,,X,X,,,,,10/19
CARAPAZ Richard,rider/richard-carapaz,,,,X,,,,,,,,,,,,,,,,1/19
CARDINAL Nathan,rider/nathan-cardinal,,,X,,,,,,,,,,,,,,,,,1/19
CARUSO Damiano,rider/damiano-caruso,,,,,,,X,,,,,,,,,,,,,1/19
CATTANEO Mattia,rider/mattia-cattaneo,,,,X,,,X,,,,,,,,,,,,,2/19
CAUDELL Ezra,rider/ezra-caudell,,X,X,,,X,,,,,,,,,,,,,,3/19
CAVIA Daniel,rider/daniel-cavia-sanz,X,X,,,,,,,X,X,X,X,,,,,,,,6/19
