rider_name,rider_url,Omloop Nieuwsblad,Kuurne-Brussel-Kuurne,Samyn Classic,Strade Bianche,Nokere Koerse,Bredene Koksijde Classic,Milaan-Sanremo,Ronde van Brugge,E3 Saxo Classic,In Flanders Fields,Dwars door Vlaanderen,Ronde van Vlaanderen,Scheldeprijs,Parijs-Roubaix,Ronde van Limburg,Brabantse Pijl,Amstel Gold Race,Waalse Pijl,Luik-Bastenaken-Luik,races_count
HOFSTETTER Hugo,rider/hugo-hofstetter,,X,X,,X,X,,,,X,,X,X,X,,,,,,8/19
HOLTER Ådne,rider/adne-holter,,,,X,,,X,,,,,,,,,,,,,2/19
HONORÉ Mikkel Frølich,rider/mikkel-honore,X,X,,X,,,X,,X,,X,X,,,,,,,X,8/19
HOOLE Daan,rider/daan-hoole,,X,,,,,,,,,,X,,X,,,,,,3/19
HUENS Axel,rider/axel-huens,X,X,X,,X,X,,,X,X,X,X,,,,,,,,9/19
HUITEMA Jasper,rider/jasper-huitema,,,X,,,,,,,,,,,,,,,,,1/19
HULSMANS Senne,rider/senne-hulsmans,,,,,,X,,,,,,,,,,,,,,1/19
HUPPERTZ Joshua,rider/joshua-huppertz,,,X,,,,,,,,,,,,,,,,,1/19
HUYSMANS Nolan,rider/nolan-huysmans,,X,X,,,,,X,,,X,,,,,,,,,4/19
HVIDEBERG Jonas Hem,rider/jonas-hem-hvideberg,,X,,,X,X,,,,,,,,,,,,,,3/19
IACCHI Alessandro,rider/alessandro-iacchi,,,,X,,,,,,,,,,,,,,,,1/19
IBÁÑEZ Javier,rider/javier-ibanez-beltran-de-salazar,,,,,X,X,,,,,,,,,,,,,,2/19
INGEBRIGTSEN Storm,rider/storm-ingebrigtsen,,X,,,X,X,,,X,,X,,,,,,,,,5/19
ISIDORE Noa,rider/noa-isidore,,,,X,,,X,,,,,,,,,,,,,2/19
IZAGIRRE Ion,rider/ion-izagirre,,,,,,,,,,,,,,,,,X,X,X,3/19
IZQUIERDO Clément,rider/clement-izquierdo,,,,,,,X,,,,,,,,,,,,,1/19
JABLONSKI Ole,rider/ole-jablonski,,,X,,,,,,,,,,,,,,,,,1/19
JACOBS Johan,rider/johan-jacobs,X,X,,,,,X,,X,X,X,X,,,,,,,,7/19
JACQUES Lucas,rider/lucas-jacques,,,X,,,,,,,,,,,,,,,,,1/19
JAKOBSEN Fabio,rider/fabio-jakobsen,,,X,,X,X,,X,,,,,X,,,,,,,5/19
JEAN Victor,rider/victor-jean,,,X,,,,,,,,,,,,,,,,,1/19
JEANNIÈRE Emilien,rider/emilien-jeanniere,,X,,,X,X,,,,X,,,,,,,,,,4/19
JOHANNESSEN Anders Halland,rider/anders-halland-johannessen,,,,X,,,,,,,,,,,,,,,,1/19
JOHANNESSEN Tobias Halland,rider/tobias-halland-johannessen,,,,X,,,,,,,,,,,,,X,X,X,4/19
JOHANNINK Jelle,rider/jelle-johannink,,,,X,,,X,,X,,,,,,,,,,,3/19
JOHANSEN Julius,rider/julius-johansen,X,X,,,X,X,,,X,X,X,X,,X,,,,,,9/19
JORGENSON Matteo,rider/matteo-jorgenson,,,,X,,,X,,,,,,,,,,X,X,X,5/19
JUUL-JENSEN Christopher,rider/christopher-juul-jensen,,,,,,,X,,,,,,,,,,,,,1/19
KANTER Max,rider/max-kanter,,X,,,X,X,,,,X,X,,,,,,,,,5/19
KELEMEN Petr,rider/petr-kelemen,X,X,,,,,,,,X,X,,,,,,,,,4/19
KERCKHAERT Jochem,rider/jochem-kerckhaert,,,X,,,X,,,,,,,,,,,,,,2/19
KESSLER Cole,rider/cole-kessler,,X,,,X,,,,,,,,,,,,,,,2/19
KIELICH Timo,rider/timo-kielich,X,X,,X,,,X,,X,X,X,X,,X,,,,,,9/19
KILLY Jonah,rider/jonah-killy,,,,,X,X,,,,,,,,,,,,,,2/19
KING Matthew,rider/matthew-king1,,,X,,,,,,,,,,,,,,,,,1/19
KIRSCH Alex,rider/alex-kirsch,X,X,,,,,,X,,X,X,X,,X,,,,,,7/19
KLUCKERS Arthur,rider/arthur-kluckers,,,,,,,X,,X,,,X,,,,,,,,3/19
KMÍNEK Vojtěch,rider/vojtech-kminek,X,X,,,,,,,X,,X,,,,,,,,,4/19
KNOX James,rider/james-knox,,,,X,,,,,,,,,,,,,,,,1/19
KOCKELMANN Mathieu,rider/mathieu-kockelmann,,,,X,X,,,,,,,,,,,,,,,2/19
KOERDT Bjorn,rider/bjoern-koerdt,,,,X,,,X,,X,,X,,,,,,,,,4/19
KOGUT Oded,rider/oded-kogut,,,X,,,X,,,,,,,,,,,,,,2/19
KOLZE CHANGIZI Sebastian,rider/sebastian-kolze-changizi,,,,,X,X,,X,,X,X,,,,,,,,,5/19
KONRAD Patrick,rider/patrick-konrad,,,,X,,,,,,,,,,,,,,,,1/19
KOPECKÝ Matyáš,rider/matyas-kopecky,X,X,,,X,,,,,X,X,X,,X,,,,,,7/19
KOPECKÝ Tomáš,rider/tomas-kopecky,X,,X,,,,X,,,X,X,X,,,,,,,,6/19
KRAGH ANDERSEN Søren,rider/soren-kragh-andersen,X,,,,,,X,,X,X,X,X,,X,,,,,,7/19
KRIJNSEN Jelte,rider/jelte-krijnsen,X,X,,,,X,,X,X,X,X,X,,X,,,,,,9/19
KRON Andreas,rider/andreas-kron,,,,X,,,,,,,,,,,,,,,,1/19
KROONEN Max,rider/max-kroonen,,,X,,,X,,,,,,,,,,,,,,2/19
KUBIŠ Lukáš,rider/lukas-kubis,X,,X,,X,,X,,,X,X,X,,X,,,,,,8/19
KUDUS Merhawi,rider/merhawi-kudus,,,,,,,,,,,,X,,,,,,,,1/19
KUZMIN Anton,rider/anton-kuzmin,,,,X,,,,,,,,,,,,,,,,1/19
KWIATKOWSKI Michał,rider/michal-kwiatkowski,X,,,,,,X,,,,,,,,,,X,X,X,5/19
KÜNG Stefan,rider/stefan-kung,X,,,,,,,,,,,,,,,,,,,1/19
L'HOTE Antoine,rider/antoine-l-hote,,,,X,,,,,,,,,,,,,,,,1/19
LABROSSE Jordan,rider/jordan-labrosse,,,,X,,,X,,,,,,,,,,X,X,X,5/19
LAENGEN Vegard Stake,rider/vegard-stake-laengen,,,,,X,X,,,,,,,,,,,,,,2/19
LAFAY Victor,rider/victor-lafay,,,,,,,,,,,,,,,,,,X,,1/19
LAMBRECHT Michiel,rider/michiel-lambrecht,X,,X,,X,,,,X,X,,,,,,,,,,5/19
LAMPAERT Yves,rider/yves-lampaert,X,X,,,X,X,,,,X,X,X,,X,,,,,,8/19
LAMPERTI Luke,rider/luke-lamperti,X,X,,,,,X,X,X,X,X,X,,X,,,,,,9/19
LANGELLOTTI Victor,rider/victor-langellotti,,,,,,,,,,,,,,,,,X,X,X,3/19
LANHOVE Milan,rider/milan-lanhove,X,,,,X,,,,X,,,X,,,,,,,,4/19
LAPEIRA Paul,rider/paul-lapeira,,,,X,,,X,,,,,,,,,,X,X,X,5/19
LAPORTE Christophe,rider/christophe-laporte,X,X,X,,,,X,,X,X,X,X,,X,,,,,,9/19
LARRONDE Ellande,rider/ellande-larronde,,,,,X,X,,,,,,,,,,,,,,2/19
LARSEN Niklas,rider/niklas-larsen,X,X,,,,,,,,,X,X,,,,,,,,4/19
LAURANCE Axel,rider/axel-laurance,,,,X,,,X,,,,,,,,,,X,X,X,5/19
LAURYSSEN Yorben,rider/yorben-lauryssen,,,X,,,X,,,,,,,,,,,,,,2/19
LECERF Junior,rider/junior-lecerf,,,,X,,,,,,,,,,,,,,,,1/19
LECROQ Jérémy,rider/jeremy-lecroq,,,X,,,,,,,,,,,,,,,,,1/19
LEITÃO Iúri,rider/iuri-leitao,,,,,X,X,,,,,,,,,,,,,,2/19
LEROUX Samuel,rider/samuel-leroux,X,X,,,,X,,,,X,X,X,,,,,,,,6/19
LIENHARD Fabian,rider/fabian-lienhard,,,,,X,X,,,,,,,,,,,,,,2/19
LIEPIŅŠ Emīls,rider/emils-liepins,,,,,X,X,,,X,X,X,X,,,,,,,,6/19
LIVYNS Arjen,rider/arjen-livyns,X,,,,X,X,,,X,X,X,X,,,,,,,,7/19
LONARDI Giovanni,rider/giovanni-lonardi,,,,,,,X,,,,,,,,,,,,,1/19
LOOCKX Lander,rider/lander-loockx,,,,X,,,,,X,,,,,,,,,,,2/19
LOUVEL Matis,rider/matis-louvel,X,X,,,,,,,X,X,X,X,,X,,,,,,7/19
LOWAGIE Arthur,rider/arthur-lowagie,,,X,,,,,,,,,,,,,,,,,1/19
LOZANO David,rider/david-lozano,,,,,,,X,,,,,,,,,,,,,1/19
LØLAND Sakarias Koller,rider/sakarias-koller-loland,,,,,,,,,X,,X,,,,,,,,,2/19
MAAS Jan,rider/jan-maas,,X,X,,X,X,,X,,,,,,,,,,,,5/19
MAAS Marijn,rider/marijn-maas,,,X,,,,,,,,,,,,,,,,,1/19
MACIEJUK Filip,rider/filip-maciejuk,X,X,,X,,,X,,,,,,,,,,,,,4/19
MACKELLAR Alastair,rider/alastair-mackellar,,,,,,,X,,X,X,X,,,,,,,,,4/19
MACÍAS César,rider/cesar-macias-estrada,X,X,,,,,,,,X,,,,,,,,,,3/19
MADOUAS Valentin,rider/valentin-madouas,X,,,X,,,,,X,X,X,X,,,,,,,,6/19
MAESTRI Mirco,rider/mirco-maestri,,,,,,,X,,,,,,,,,,,,,1/19
MAGAGNOTTI Alessio,rider/alessio-magagnotti,,,X,,,,,,,,,,,,,,,,,1/19
MAGLI Filippo,rider/filippo-magli2,,,,X,,,,,,,,,,,,,,,,1/19
MAGNIER Paul,rider/paul-magnier,X,X,,,,,X,,,X,X,X,,,,,,,,6/19
MANENTI Marco,rider/marco-manenti1,,,,,,,X,,,,,,,,,,,,,1/19
MANZIN Lorrenzo,rider/lorrenzo-manzin,,,,,X,X,,,,,,,,,,,,,,2/19
MARCELLUSI Martin,rider/martin-marcellusi,,,,X,,,X,,,,,,,,,,,,,2/19
MARCEROU Nicola,rider/nicola-marcerou,,,X,,X,,,,,,,,,,,,,,,2/19
MARCHAND Gianni,rider/gianni-marchand,,,,,,X,,,,,,,,,,,,,,1/19
MARIS Elias,rider/elias-maris,,,,,X,,,,X,,,,,,,,,,,2/19
MARIT Arne,rider/arne-marit,X,X,X,,X,,,,X,X,X,,X,,,,,,,8/19
MARSMAN Tim,rider/tim-marsman,,,,,,,X,,,,,,,,,,,,,1/19
MARTIN Guillaume,rider/guillaume-martin,,,,,,,,,,,,,,,,,,X,X,2/19
MARTINELLI Alessio,rider/alessio-martinelli,,,,X,,,,,,,,,,,,,,,,1/19
MARTINEZ Lenny,rider/lenny-martinez,,,,,,,,,,,,,,,,,,X,,1/19
MARTÍ Pau,rider/pau-marti-soriano,,,,X,,,,,,,,,,,,,,,,1/19
MARTÍNEZ Daniel Felipe,rider/daniel-felipe-martinez,,,,,,,,,,,,,,,,,,X,X,2/19
MARX Louis,rider/louis-marx,,,X,,,,,,,,,,,,,,,,,1/19
MATTHEWS Michael,rider/michael-matthews,,,,,,,,,,,,X,,,,,,,,1/19
MATTIO Pietro,rider/pietro-mattio,X,X,X,X,,,,,,,X,,,,,,,,,5/19
MAYER Alexandre,rider/alexandre-mayer,X,X,,,,,,,,,,,,,,,,,,2/19
MAYRHOFER Marius,rider/marius-mayrhofer,,,,,,,,,,X,X,X,,,,,,,,3/19
MAŁECKI Kamil,rider/kamil-malecki,X,X,,,X,,,,X,X,X,,,,,,,,,6/19
MCDONALD Brody,rider/brody-mcdonald,,,X,,X,X,,,,,,,,,,,,,,3/19
MCGILL Scott,rider/scott-mcgill,,,,,,X,,,,,,,,,,,,,,1/19
MCKAY James,rider/james-mckay,,,X,,,,,,,,,,,,,,,,,1/19
MCKENZIE Hamish,rider/hamish-mckenzie,,,,,X,X,,,,,,,,,,,,,,2/19
MCNULTY Brandon,rider/brandon-mcnulty,,,,,,,X,,,,,,,,,,,,,1/19
MEEUS Jordi,rider/jordi-meeus,X,X,X,,X,,,,,X,,,X,X,,,,,,7/19
MELOTTE Matteo,rider/matteo-melotte,,,X,,,,,,,,,,,,,,,,,1/19
MENTEN Milan,rider/milan-menten,,,,,X,,,,,,,,,,X,X,,,,3/19
MERIS Sergio,rider/sergio-meris,,,,X,,,X,,X,,,,,,,,,,,3/19
MERLIER Tim,rider/tim-merlier,,,,,,,,X,,,,,X,,,,,,,2/19
MEURISSE Xandro,rider/xandro-meurisse,X,,,X,,,X,,,,,,,,,,,,,3/19
MEZGEC Luka,rider/luka-mezgec,,X,,,X,X,,,,,,,,,,,,,,3/19
MICHIELSEN Thor,rider/thor-michielsen,,,,,X,,,,,,,,,,,,,,,1/19
MIHKELS Madis,rider/madis-mihkels,,,,,,,X,X,,X,X,X,,X,,,,,,6/19
MIHOLJEVIĆ Fran,rider/fran-miholjevic,,,,X,,,X,,,,,,,,,,,,,2/19
MIKUTIS Aivaras,rider/aivaras-mikutis,X,X,,,X,X,,,,X,X,,,,,,,,,6/19
MILAN Jonathan,rider/jonathan-milan,,X,,,,,,,,X,X,,,X,,,,,,4/19
MILAN Matteo,rider/matteo-milan,,,X,,,X,,,,,,,,,,,,,,2/19
MILESI Lorenzo,rider/lorenzo-milesi,,,,,,,X,,X,X,X,X,,,,,,,,5/19
MIQUEL Pau,rider/pau-miquel-delgado,X,X,,X,X,,X,,,,X,X,,,,,X,,,8/19
MOHORIČ Matej,rider/matej-mohoric,X,X,,X,,,X,,X,X,X,X,,X,,,,,,9/19
MOLANO Juan Sebastián,rider/juan-sebastian-molano,X,X,,,X,X,,,,X,,,,,,,,,,5/19
MOLENAAR Alex,rider/alex-molenaar,,,,,,,,,,,,,,,,,,,X,1/19
MOLLEMA Bauke,rider/bauke-mollema,,,,X,,,,,,,,,,,,,X,,,2/19
MOONEN Zeno,rider/zeno-moonen,,,X,,X,X,,,,,,,,,,,,,,3/19
MORGADO António,rider/antonio-morgado,,,,,X,,,,,X,X,X,,,,,,,,4/19
MORO Manlio,rider/manlio-moro,X,X,,X,,,X,,X,X,X,X,,,,,,,,8/19
MOSCA Jacopo,rider/jacopo-mosca,,,,X,,,,,,,,,,,,,,,,1/19
MOSCHETTI Matteo,rider/matteo-moschetti,,X,,,X,X,,,,,,,,,,,,,,3/19
MOSCON Gianni,rider/gianni-moscon,,,,X,,,X,,,,,,,,,,,,,2/19
MOURIS Michiel,rider/michiel-mouris,,,X,,,,,,,,,,,,,,,,,1/19
MOURIS Wessel,rider/wessel-mouris,,,,,,X,,,,X,X,X,,,,,,,,4/19
MOZZATO Luca,rider/luca-mozzato,X,X,,,,X,,,X,X,,X,,,,,,,,6/19
MULLEN Ryan,rider/ryan-mullen,X,X,,,,,,,,X,,X,,,,,,,,4/19
MUÑOZ Francisco,rider/francisco-munoz-llana,,,,X,,,X,,,,,,,,,,,,,2/19
MÄRKL Niklas,rider/niklas-markl,,X,,,,,,,,X,,,,,,,,,,2/19
MÜHLBERGER Gregor,rider/gregor-muhlberger,,,,X,,,,,,,,,,,,,,,,1/19
MÜLLER Tobias,rider/tobias-muller1,,,,,,X,,,,,,,,,,,,,,1/19
NABERMAN Tim,rider/tim-naberman,,X,,,,,,,,X,,,,,,,,,,2/19
NAESEN Oliver,rider/oliver-naesen,X,X,,,,,X,,X,X,X,X,,X,,,,,,8/19
NEILANDS Krists,rider/krists-neilands,,,,X,,,X,,,,,,,,,,,,,2/19
NENCINI Tommaso,rider/tommaso-nencini,,,,X,,,,,,,,,,,,,,,,1/19
NERURKAR Lukas,rider/lukas-nerurkar,,,,X,,,,,,,,,,,,,,,,1/19
NESPOLI Lorenzo,rider/lorenzo-nespoli,,,,X,,,,,,,,,,,,,,,,1/19
NIELSEN Magnus Lorents,rider/magnus-lorents-nielsen,,,X,,,,,,,,,,,,,,,,,1/19
NOIRHOMME Arnaud,rider/arnaud-noirhomme,,,X,,,,,,,,,,,,,,,,,1/19
NOVAK Domen,rider/domen-novak,,,,X,,,X,,,,,,,,,,X,X,X,5/19
NOVÁK Pavel,rider/pavel-novak,,,,X,,,,,,,,,,,,,,,,1/19
O'BRIEN Kelland,rider/kelland-brien,X,X,,,,,X,,,,X,,,,,,,,,4/19
OLIVEIRA Rui,rider/rui-oliveira,X,X,,,X,X,,,X,X,,X,,X,,,,,,8/19
OLIVER Ben,rider/ben-oliver,,X,X,,X,X,,,,,,,,,,,,,,4/19
OOSTERLINCK Joes,rider/joes-oosterlinck,,,X,,,,,,,,,,,,,,,,,1/19
OTRUBA Jakub,rider/jakub-otruba,,,,,X,X,,,,,,,,,,,X,X,X,5/19
OURSELIN Paul,rider/paul-ourselin,,,,,,,X,,,,,,,,,,,,,1/19
PAARDEKOOPER Thijmen,rider/thijmen-paardekooper,,,X,,,X,,,,,,,,,,,,,,2/19
PACHER Quentin,rider/quentin-pacher,,,,,,,X,,,,,,,,,,,,,1/19
PAGE Hugo,rider/hugo-page,X,X,X,,X,X,,,,X,X,X,,,,,,,,8/19
PAJUR Romet,rider/romet-pajur,,X,,,,,,,,,,,,,,,,,,1/19
PALETTI Luca,rider/luca-paletti,,,,X,,,X,,,,,,,,,,,,,2/19
PARET-PEINTRE Aurélien,rider/aurelien-paret-peintre,,,,,,,,,,,,,,,,,X,X,X,3/19
PARISINI Nicolò,rider/nicolo-parisini,,X,,,,X,,,,,,,,,,,,,,2/19
PEACE Oliver,rider/oliver-peace,,,,X,,,X,,X,,,,,,,,,,,3/19
PEDERSEN Casper,rider/casper-pedersen,X,,,,,,X,,X,,X,X,,,,,,,,5/19
PEDERSEN Henrik,rider/henrik-pedersen,,X,,,X,X,,,,,,,,,,,,,,3/19
PEDERSEN Mads,rider/mads-pedersen,,,,,,,X,,X,X,X,X,,X,,,,,,6/19
PEDERSEN Martin,rider/martin-pedersen1,,,,,,X,,,,,,,,,,,,,,1/19
PEDERSEN Rasmus Søjberg,rider/rasmus-sojbergpedersen,X,X,,,,,,X,X,X,X,,,,,,,,,6/19
PELLIZZARI Giulio,rider/giulio-pellizzari,,,,X,,,X,,,,,,,,,,,,,2/19
PENHOËT Paul,rider/paul-penhoet,,X,X,,X,X,,,,X,,,,,,,,,,5/19
PERON Andrea,rider/andrea-peron,,,,,,,X,,,,,,,,,,,,,1/19
PESCADOR Diego,rider/diego-pescador,,,,X,,,,,,,,,,,,,,,,1/19
PHILIPSEN Jasper,rider/jasper-philipsen,X,X,,,X,,X,X,,X,X,,X,X,,,,,,9/19
PICKRELL Riley,rider/riley-pickrell,,X,X,,,,,,,,,,,,,,,,,2/19
PIDCOCK Joseph,rider/joseph-pidcock,,,,,X,X,,,,,,,,,,,,,,2/19
PIDCOCK Thomas,rider/thomas-pidcock,X,,,X,,,X,,,,,,,,,X,X,X,X,7/19
PIETROBON Andrea,rider/andrea-pietrobon,,,,X,,,X,,,,,,,,,,,,,2/19
PINARELLO Alessandro,rider/alessandro-pinarello,,,,X,,,,,,,,,,,,,,,,1/19
PIRAS Andrea,rider/andrea-piras,,,,X,,,,,,,,,,,,,,,,1/19
PIRINEN Miko,rider/miko-pirinen,,,X,,,,,,,,,,,,,,,,,1/19
PITHIE Laurence,rider/laurence-pithie,X,X,,,,,X,,X,X,X,X,,X,,,,,,8/19
PLANCKAERT Edward,rider/edward-planckaert,X,X,,X,X,,X,,X,,X,X,,,,,,,,8/19
PLOWRIGHT Jensen,rider/jensen-plowright,,,,,,X,,,,,,,,,,,,,,1/19
PLUIMERS Rick,rider/rick-pluimers,X,X,,,,,X,,X,,X,X,,,,,X,,,7/19
POELS Wout,rider/wout-poels,,,,X,,,X,,,,,,,,,,,,,2/19
POGAČAR Tadej,rider/tadej-pogacar,,,,X,,,X,,,,,X,,X,,,,,X,5/19
POLGA Antonio,rider/antonio-polga,,,,,,,X,,,,,,,,,,,,,1/19
POLI Umberto,rider/umberto-poli,,,,,,,X,,,,,,,,,,,,,1/19
POLITT Nils,rider/nils-politt,X,X,,,,X,,,X,X,X,X,,,,,,,,7/19
PRICE-PEJTERSEN Johan,rider/johan-price-pejtersen,,,X,,,,,,,,,,,,,,,,,1/19
PUTZ Sebastian,rider/sebastian-putz,,,,,X,,,,,,,,,,,,,,,1/19
QUARTUCCI Lorenzo,rider/lorenzo-quartucci,,,,,,,,,X,X,X,X,,,,,,,,4/19
RACCAGNI Gabriele,rider/gabriele-raccagni,,,,,,,X,,,,,,,,,,,,,1/19
RACCAGNI NOVIERO Andrea,rider/andrea-raccagni-noviero,,,,,,,,,,,,,,,,,X,,X,2/19
RADCLIFFE George,rider/george-radcliffe,,,X,,,,,,,,,,,,,,,,,1/19
RAISBERG Nadav,rider/nadav-raisberg,,,,,X,X,,,,,X,,,,,,,,,3/19
RASENBERG Martijn,rider/martijn-rasenberg,X,X,,,X,X,,,,,,,,,,,,,,4/19
RAUGEL Antoine,rider/antoine-raugel,,,X,,,,,,,,,,,,,,,,,1/19
REINDERINK Pepijn,rider/pepijn-reinderink,X,,,X,,,X,,X,,X,X,,,,,,,,6/19
REINDERS Elmar,rider/elmar-reinders,,X,X,,,X,,X,,X,,,X,,,,,,,6/19
RENARD Alexis,rider/alexis-renard,X,X,X,,,X,,X,,X,X,,,X,,,,,,8/19
RENARD-HAQUIN Henri-François,rider/henri-francois-renard-haquin,X,,X,,X,X,,,X,,X,X,,,,,,,,7/19
RESELL Erik Nordsæter,rider/erik-nordsaeter-resell,X,X,,,,,X,,,X,X,X,,,,,,,,6/19
REX Laurenz,rider/laurenz-rex,,X,X,,,,X,,,X,,X,,X,,,,,,6/19
REX Tim,rider/tim-rex,,,,X,,,,,,X,,,,,,,,,,2/19
RICKAERT Jonas,rider/jonas-rickaert,,X,X,,X,,,,,X,X,X,,,,,,,,6/19
RIDOLFO Filippo,rider/filippo-ridolfo,,,,,,,X,,,,,,,,,,,,,1/19
RIESEBEEK Oscar,rider/oscar-riesebeek,,,,,X,,,,X,,,X,,X,,X,,,,5/19
RIGOLE Brian,rider/brian-rigole,,,X,,,,,,,,,,,,,,,,,1/19
RIVERA Brandon Smith,rider/brandon-smith-rivera-vargas,,,,X,,,,,,,,,,,,,,,,1/19
ROGLIČ Primož,rider/primoz-roglic,,,,,,,X,,,,,,,,,,,,,1/19
ROLLAND Brieuc,rider/brieuc-rolland,,,,X,,,,,,,,,,,,,,,X,2/19
ROMELE Alessandro,rider/alessandro-romele,X,X,,,,X,,,X,,,X,,,,,,,,5/19
ROMMELAERE Iben,rider/iben-rommelaere,,,,,X,,,,,,,,,,,,,,,1/19
ROOSEN Timo,rider/timo-roosen,X,X,X,,X,X,,,,,,X,,,,,,,,6/19
ROTA Lorenzo,rider/lorenzo-rota,,,,,,,X,,,,,,,,,,,,,1/19
ROTTMANN Jonathan Malte,rider/jonathan-malte-rottmann,,,X,,,,,,,,,,,,,,,,,1/19
ROUILLER Loris,rider/loris-rouiller,,,X,,,,,,,,,,,,,,,,,1/19
RUSSO Clément,rider/clement-russo,X,X,,,,,X,,X,X,X,X,,,,,,,,7/19
RUTSCH Jonas,rider/jonas-rutsch,,,,,,,X,,X,X,,X,,,,,,,,4/19
SAINBAYAR Jambaljamts,rider/jambaljamts-sainbayar,,,,,,,,,,,X,,,,,,,,,1/19
SAMBINELLO Mattia,rider/mattia-sambinello,,,,,X,,,,,,,,,,,,,,,1/19
SANTY Arne,rider/arne-santy,,,X,,X,X,,,,,,,,,,,,,,3/19
SCALA Hugo,rider/hugo-scala,,,,,X,X,,,,,,,,,,,,,,2/19
SCARONI Christian,rider/christian-scaroni,,,,,,,,,,,,,,,,,X,X,X,3/19
SCHACHMANN Maximilian,rider/maximilian-schachmann,,,,,,,X,,,,,,,,,,,,,1/19
SCHELDEMAN Xander,rider/xander-scheldeman,,,X,,,,,,,,,,,,,,,,,1/19
SCHMID Mauro,rider/mauro-schmid,,,,,,,X,,,,,X,,,,,X,X,X,5/19
SCHRETTL Marco,rider/marco-schrettl,,,,X,,,,,,,,,,,,,,,,1/19
SCHULTEN Chiel,rider/chiel-schulten,,,X,,,,,,,,,,,,,,,,,1/19
SCHULTZ Nick,rider/nick-schultz,,,,X,,,X,,,,,,,,,,X,X,X,5/19
SCHWARZBACHER Matthias,rider/matthias-schwarzbacher,,,,,,,,,X,X,X,X,,,,,,,,4/19
SEGAERT Alec,rider/alec-segaert,X,X,X,,X,,,,X,X,X,X,,X,,,,,,9/19
SEIXAS Paul,rider/paul-seixas,,,,X,,,,,,,,,,,,,,X,X,3/19
SENTJENS Sente,rider/sente-sentjens,,X,,,X,X,,,,,,,X,,X,,,,,5/19
SERRANO Gonzalo,rider/gonzalo-serrano,,,,X,,,,,,,X,X,,,,,,,,3/19
SEVILLA Diego Pablo,rider/diego-pablo-sevilla,,,,X,,,,,,,,,,,,,,,,1/19
SHAW James,rider/james-shaw,,,,X,,,,,,,,,,,,,,,,1/19
SHEEHAN Riley,rider/riley-sheehan,X,X,,,,,,,X,,X,X,,X,,,,,,6/19
SHEFFIELD Magnus,rider/magnus-sheffield,X,,,,,,,,X,X,X,X,,,,,,,,5/19
SHMIDT Artem,rider/artem-shmidt,X,,,X,,,,,X,X,,,,,,,,,,4/19
SILVA Guillermo Thomas,rider/guillermo-thomas-silva-coussan,,,,X,,,X,,,,,,,,,,,,,2/19
SIMMONS Colby,rider/colby-simmons,X,X,,,,,,,X,X,X,X,,,,,,,,6/19
SIMMONS Quinn,rider/quinn-simmons,,,,X,,,,,,,,,,,,,X,,,2/19
SIVAKOV Pavel,rider/pavel-sivakov,,,,,,,,,,,,,,,,,X,X,X,3/19
SKAARSETH Anders,rider/anders-skaarseth,,,,X,,,X,,,,,,,,,,,,,2/19
SKERL Daniel,rider/daniel-skerl,,,,,,,,,X,,,,,,,,,,,1/19
SKJELMOSE Mattias,rider/mattias-skjelmose-jensen,,,,,,,,,,,,,,,,,X,X,X,3/19
SKUJIŅŠ Toms,rider/toms-skujins,X,X,,,,,,,,,,,,,,,,,,2/19
SLOCK Liam,rider/liam-slock,,X,,X,,,X,,,,,,,,,,,,,3/19
SMITH Dion,rider/dion-smith,,,,,,,X,,,,,,,,,,,,,1/19
SOBRERO Matteo,rider/matteo-sobrero,,,,X,,,X,,,,,,,,,,,,,2/19
SOMMER Jan,rider/jan-sommer,,,X,,,,,,,,,,,,,,,,,1/19
SORARRAIN Gorka,rider/gorka-sorarrain,,,,,X,X,,,,,,,,,,,,,,2/19
STAES Gibbe,rider/gibbe-staes,,,X,,,,,,,,,,,,,,,,,1/19
STANNARD Robert,rider/robert-stannard,X,,X,,,,,,,,,,,,,,,,,2/19
STENICO Mattia,rider/mattia-stenico,,,,X,,,,,,,,,,,,,,,,1/19
STEWART Mark,rider/mark-stewart,,X,X,,,,,,,,,,,,,,,,,2/19
STOCKMAN Abram,rider/abram-stockman,,,,,,X,,,,X,,,,,,,,,,2/19
STOCKWELL Oliver,rider/oliver-stockwell,,,,,,,,,X,,,,,,,,,,,1/19
STORK Florian,rider/florian-stork,,,,,,,X,,,,,,,,,,,,,1/19
STRONG Corbin,rider/corbin-strong,,,,,,,X,,,,,,,,,,,,,1/19
STUYVEN Jasper,rider/jasper-stuyven,,,,,,,X,,X,X,,X,,X,,,,,,5/19
SU Haoyu,rider/haoyu-su,,,,,,X,,,,,,,,,,,,,,1/19
SUNEKÆR NORSGAARD Mathias,rider/mathias-norsgaard,,X,,,,,X,,X,X,X,X,,X,,,,,,7/19
SVARRE Tobias,rider/tobias-svarre,,,,,X,X,,,,,,,,,,,,,,2/19
SVRČEK Martin,rider/martin-svrcek,,,X,X,,,,,,,,,,,,,,,,2/19
SWEENY Harry,rider/harry-sweeny,,,,,,,X,,,,,,,,,,,,,1/19
SWIFT Ben,rider/ben-swift,X,,,,,,,,,,,,,,,,,,,1/19
SWIFT Connor,rider/connor-swift,,,,X,,,X,,X,X,X,X,,,,,,,,6/19
